No,Nama Produk,Brand,Jenis Kulit,Masalah Kulit,Kandungan Utama,Alcohol-Free,Fragrance-Free,Non-Comedogenic,Oil Control,Hydrating,Brightening,Anti Acne,Soothing,Anti Aging,UV Protection,Cocok,Image
1,UV Shield Aqua Fresh Essence SPF 50 PA++++,Wardah,Normal,"Kulit kusam, Paparan UV, Kering, Iritasi ringan","Broad Spectrum Protection, Aquafused Technology, Bisabolol, Waterproof Acvtive",1,0,1,1,1,1,0,1,0,YES,YES,C:\project\static\Images\Sunscreen\Wardah UV Shield Aqua Fresh Sunscreen Serum SPF 50 PA++++.png
2,UV Shield Aqua Fresh Essence SPF 50 PA++++,Wardah,Kering,"Kulit kusam, Paparan UV, Kering, Iritasi ringan","Broad Spectrum Protection, Aquafused Technology, Bisabolol, Waterproof Acvtive",1,0,1,1,1,1,0,1,0,YES,YES,C:\project\static\Images\Sunscreen\Wardah UV Shield Aqua Fresh Sunscreen Serum SPF 50 PA++++.png
3,UV Shield Aqua Fresh Essence SPF 50 PA++++,Wardah,Sensitif,"Kulit kusam, Paparan UV, Kering, Iritasi ringan","Broad Spectrum Protection, Aquafused Technology, Bisabolol, Waterproof Acvtive",1,0,1,1,1,1,0,1,0,YES,NO,C:\project\static\Images\Sunscreen\Wardah UV Shield Aqua Fresh Sunscreen Serum SPF 50 PA++++.png
4,UV Shield Aqua Fresh Essence SPF 50 PA++++,Wardah,Berminyak,"Kulit kusam, Paparan UV, Kering, Iritasi ringan","Broad Spectrum Protection, Aquafused Technology, Bisabolol, Waterproof Acvtive",1,0,1,1,1,1,0,1,0,YES,YES,C:\project\static\Images\Sunscreen\Wardah UV Shield Aqua Fresh Sunscreen Serum SPF 50 PA++++.png
5,UV Shield Aqua Fresh Essence SPF 50 PA++++,Wardah,Kombinasi,"Kulit kusam, Paparan UV, Kering, Iritasi ringan","Broad Spectrum Protection, Aquafused Technology, Bisabolol, Waterproof Acvtive",1,0,1,1,1,1,0,1,0,YES,YES,C:\project\static\Images\Sunscreen\Wardah UV Shield Aqua Fresh Sunscreen Serum SPF 50 PA++++.png
6,UV Shield Aqua Fresh Essence SPF 50 PA++++,Wardah,Berjerawat,"Kulit kusam, Paparan UV, Kering, Iritasi ringan","Broad Spectrum Protection, Aquafused Technology, Bisabolol, Waterproof Acvtive",1,0,1,1,1,1,0,1,0,YES,NO,C:\project\static\Images\Sunscreen\Wardah UV Shield Aqua Fresh Sunscreen Serum SPF 50 PA++++.png
7,UV Shield Essential Sunscreen Gel SPF 35 PA+++,Wardah,Normal,"Kusam, Paparan UV, Kering, Iritasi ringan","Niacinamide, Vitamin C, Gluthatione, SkinBoost DNA, Vitamin E dan Pro-Vitamin B5",1,1,1,1,1,0,0,1,0,YES,YES,C:\project\static\Images\Sunscreen\Wardah UV Shield Essential Gel Sunscreen Serum SPF 35 PA+++.png
8,UV Shield Essential Sunscreen Gel SPF 35 PA+++,Wardah,Kering,"Kusam, Paparan UV, Kering, Iritasi ringan","Niacinamide, Vitamin C, Gluthatione, SkinBoost DNA, Vitamin E dan Pro-Vitamin B5",1,1,1,1,1,0,0,1,0,YES,YES,C:\project\static\Images\Sunscreen\Wardah UV Shield Essential Gel Sunscreen Serum SPF 35 PA+++.png
9,UV Shield Essential Sunscreen Gel SPF 35 PA+++,Wardah,Sensitif,"Kusam, Paparan UV, Kering, Iritasi ringan","Niacinamide, Vitamin C, Gluthatione, SkinBoost DNA, Vitamin E dan Pro-Vitamin B5",1,1,1,1,1,0,0,1,0,YES,YES,C:\project\static\Images\Sunscreen\Wardah UV Shield Essential Gel Sunscreen Serum SPF 35 PA+++.png
10,UV Shield Essential Sunscreen Gel SPF 35 PA+++,Wardah,Berminyak,"Kusam, Paparan UV, Kering, Iritasi ringan","Niacinamide, Vitamin C, Gluthatione, SkinBoost DNA, Vitamin E dan Pro-Vitamin B5",1,1,1,1,1,0,0,1,0,YES,YES,C:\project\static\Images\Sunscreen\Wardah UV Shield Essential Gel Sunscreen Serum SPF 35 PA+++.png
11,UV Shield Essential Sunscreen Gel SPF 35 PA+++,Wardah,Kombinasi,"Kusam, Paparan UV, Kering, Iritasi ringan","Niacinamide, Vitamin C, Gluthatione, SkinBoost DNA, Vitamin E dan Pro-Vitamin B5",1,1,1,1,1,0,0,1,0,YES,YES,C:\project\static\Images\Sunscreen\Wardah UV Shield Essential Gel Sunscreen Serum SPF 35 PA+++.png
12,UV Shield Essential Sunscreen Gel SPF 35 PA+++,Wardah,Berjerawat,"Kusam, Paparan UV, Kering, Iritasi ringan","Niacinamide, Vitamin C, Gluthatione, SkinBoost DNA, Vitamin E dan Pro-Vitamin B5",1,1,1,1,1,0,0,1,0,YES,NO,C:\project\static\Images\Sunscreen\Wardah UV Shield Essential Gel Sunscreen Serum SPF 35 PA+++.png
13,UV Shield Light Matte Sun Stick SPF 50 PA++++,Wardah,Normal,"Kusam, Paparan UV, Minyak berlebih","Broad Spectrum Protection, Sebum Absorber, Water and Sweat Resistant Technology, Vitamin E",1,1,1,1,1,0,0,0,0,YES,YES,C:\project\static\Images\Sunscreen\Wardah UV Shield Light Matte Sun Stick.png
14,UV Shield Light Matte Sun Stick SPF 50 PA++++,Wardah,Kering,"Kusam, Paparan UV, Minyak berlebih","Broad Spectrum Protection, Sebum Absorber, Water and Sweat Resistant Technology, Vitamin E",1,1,1,1,1,0,0,0,0,YES,YES,C:\project\static\Images\Sunscreen\Wardah UV Shield Light Matte Sun Stick.png
15,UV Shield Light Matte Sun Stick SPF 50 PA++++,Wardah,Sensitif,"Kusam, Paparan UV, Minyak berlebih","Broad Spectrum Protection, Sebum Absorber, Water and Sweat Resistant Technology, Vitamin E",1,1,1,1,1,0,0,0,0,YES,YES,C:\project\static\Images\Sunscreen\Wardah UV Shield Light Matte Sun Stick.png
16,UV Shield Light Matte Sun Stick SPF 50 PA++++,Wardah,Berminyak,"Kusam, Paparan UV, Minyak berlebih","Broad Spectrum Protection, Sebum Absorber, Water and Sweat Resistant Technology, Vitamin E",1,1,1,1,1,0,0,0,0,YES,YES,C:\project\static\Images\Sunscreen\Wardah UV Shield Light Matte Sun Stick.png
17,UV Shield Light Matte Sun Stick SPF 50 PA++++,Wardah,Kombinasi,"Kusam, Paparan UV, Minyak berlebih","Broad Spectrum Protection, Sebum Absorber, Water and Sweat Resistant Technology, Vitamin E",1,1,1,1,1,0,0,0,0,YES,YES,C:\project\static\Images\Sunscreen\Wardah UV Shield Light Matte Sun Stick.png
18,UV Shield Light Matte Sun Stick SPF 50 PA++++,Wardah,Berjerawat,"Kusam, Paparan UV, Minyak berlebih","Broad Spectrum Protection, Sebum Absorber, Water and Sweat Resistant Technology, Vitamin E",1,1,1,1,1,0,0,0,0,YES,NO,C:\project\static\Images\Sunscreen\Wardah UV Shield Light Matte Sun Stick.png
19,UV Shield Active Protection Serum SPF 50 PA++++,Wardah,Normal,"Kusam, Paparan UV, Minyak berlebih, Polusi","Aquafused Technology, Waterproof Active, SPF 50 PA++++, Broad Spectrum Filters",1,1,1,1,1,0,0,1,0,YES,YES,C:\project\static\Images\Sunscreen\Wardah UV Shield Active Protection Serum SPF 50.png
20,UV Shield Active Protection Serum SPF 50 PA++++,Wardah,Kering,"Kusam, Paparan UV, Minyak berlebih, Polusi","Aquafused Technology, Waterproof Active, SPF 50 PA++++, Broad Spectrum Filters",1,1,1,1,1,0,0,1,0,YES,YES,C:\project\static\Images\Sunscreen\Wardah UV Shield Active Protection Serum SPF 50.png
21,UV Shield Active Protection Serum SPF 50 PA++++,Wardah,Sensitif,"Kusam, Paparan UV, Minyak berlebih, Polusi","Aquafused Technology, Waterproof Active, SPF 50 PA++++, Broad Spectrum Filters",1,1,1,1,1,0,0,1,0,YES,YES,C:\project\static\Images\Sunscreen\Wardah UV Shield Active Protection Serum SPF 50.png
22,UV Shield Active Protection Serum SPF 50 PA++++,Wardah,Berminyak,"Kusam, Paparan UV, Minyak berlebih, Polusi","Aquafused Technology, Waterproof Active, SPF 50 PA++++, Broad Spectrum Filters",1,1,1,1,1,0,0,1,0,YES,YES,C:\project\static\Images\Sunscreen\Wardah UV Shield Active Protection Serum SPF 50.png
23,UV Shield Active Protection Serum SPF 50 PA++++,Wardah,Kombinasi,"Kusam, Paparan UV, Minyak berlebih, Polusi","Aquafused Technology, Waterproof Active, SPF 50 PA++++, Broad Spectrum Filters",1,1,1,1,1,0,0,1,0,YES,YES,C:\project\static\Images\Sunscreen\Wardah UV Shield Active Protection Serum SPF 50.png
24,UV Shield Active Protection Serum SPF 50 PA++++,Wardah,Berjerawat,"Kusam, Paparan UV, Minyak berlebih, Polusi","Aquafused Technology, Waterproof Active, SPF 50 PA++++, Broad Spectrum Filters",1,1,1,1,1,0,0,1,0,YES,NO,C:\project\static\Images\Sunscreen\Wardah UV Shield Active Protection Serum SPF 50.png
25,UV Shield Acne Calming Sunscreen Serum SPF 50 PA++++,Wardah,Normal,"Minyak berlebih, Paparan UV, Rentan berjerawat","Salicylic Acid, Panthenol, Vitamin B3",1,1,1,1,1,1,1,1,0,YES,YES,C:\project\static\Images\Sunscreen\Wardah UV Shield Acne Calming Sunscreen Serum SPF 50 PA++++.png
26,UV Shield Acne Calming Sunscreen Serum SPF 50 PA++++,Wardah,Kering,"Minyak berlebih, Paparan UV, Rentan berjerawat","Salicylic Acid, Panthenol, Vitamin B3",1,1,1,1,1,1,1,1,0,YES,YES,C:\project\static\Images\Sunscreen\Wardah UV Shield Acne Calming Sunscreen Serum SPF 50 PA++++.png
27,UV Shield Acne Calming Sunscreen Serum SPF 50 PA++++,Wardah,Sensitif,"Minyak berlebih, Paparan UV, Rentan berjerawat","Salicylic Acid, Panthenol, Vitamin B3",1,1,1,1,1,1,1,1,0,YES,YES,C:\project\static\Images\Sunscreen\Wardah UV Shield Acne Calming Sunscreen Serum SPF 50 PA++++.png
28,UV Shield Acne Calming Sunscreen Serum SPF 50 PA++++,Wardah,Berminyak,"Minyak berlebih, Paparan UV, Rentan berjerawat","Salicylic Acid, Panthenol, Vitamin B3",1,1,1,1,1,1,1,1,0,YES,YES,C:\project\static\Images\Sunscreen\Wardah UV Shield Acne Calming Sunscreen Serum SPF 50 PA++++.png
29,UV Shield Acne Calming Sunscreen Serum SPF 50 PA++++,Wardah,Kombinasi,"Minyak berlebih, Paparan UV, Rentan berjerawat","Salicylic Acid, Panthenol, Vitamin B3",1,1,1,1,1,1,1,1,0,YES,YES,C:\project\static\Images\Sunscreen\Wardah UV Shield Acne Calming Sunscreen Serum SPF 50 PA++++.png
30,UV Shield Acne Calming Sunscreen Serum SPF 50 PA++++,Wardah,Berjerawat,"Minyak berlebih, Paparan UV, Rentan berjerawat","Salicylic Acid, Panthenol, Vitamin B3",1,1,1,1,1,1,1,1,0,YES,YES,C:\project\static\Images\Sunscreen\Wardah UV Shield Acne Calming Sunscreen Serum SPF 50 PA++++.png
31,UV Shield Physical Sunscreem Serum SPF 50+ PA++++,Wardah,Normal,"Kulit kemerahan, Iritasi ringan, Paparan UV","Zinc Oxide, Titanium Dioxide, Heartleaf, Oatmeal, Uji Kyoto Matcha",1,1,1,1,1,0,0,1,0,YES,YES,C:\project\static\Images\Sunscreen\Wardah UV Shield Physical Sunscreen Serum SPF 50+ PA++++.png
32,UV Shield Physical Sunscreem Serum SPF 50+ PA++++,Wardah,Kering,"Kulit kemerahan, Iritasi ringan, Paparan UV","Zinc Oxide, Titanium Dioxide, Heartleaf, Oatmeal, Uji Kyoto Matcha",1,1,1,1,1,0,0,1,0,YES,YES,C:\project\static\Images\Sunscreen\Wardah UV Shield Physical Sunscreen Serum SPF 50+ PA++++.png
33,UV Shield Physical Sunscreem Serum SPF 50+ PA++++,Wardah,Sensitif,"Kulit kemerahan, Iritasi ringan, Paparan UV","Zinc Oxide, Titanium Dioxide, Heartleaf, Oatmeal, Uji Kyoto Matcha",1,1,1,1,1,0,0,1,0,YES,YES,C:\project\static\Images\Sunscreen\Wardah UV Shield Physical Sunscreen Serum SPF 50+ PA++++.png
34,UV Shield Physical Sunscreen Serum SPF 50+ PA++++,Wardah,Berminyak,"Kulit kemerahan, Iritasi ringan, Paparan UV","Zinc Oxide, Titanium Dioxide, Heartleaf, Oatmeal, Uji Kyoto Matcha",1,1,1,1,1,0,0,1,0,YES,YES,C:\project\static\Images\Sunscreen\Wardah UV Shield Physical Sunscreen Serum SPF 50+ PA++++.png
35,UV Shield Physical Sunscreem Serum SPF 50+ PA++++,Wardah,Kombinasi,"Kulit kemerahan, Iritasi ringan, Paparan UV","Zinc Oxide, Titanium Dioxide, Heartleaf, Oatmeal, Uji Kyoto Matcha",1,1,1,1,1,0,0,1,0,YES,YES,C:\project\static\Images\Sunscreen\Wardah UV Shield Physical Sunscreen Serum SPF 50+ PA++++.png
36,UV Shield Physical Sunscreem Serum SPF 50+ PA++++,Wardah,Berjerawat,"Kulit kemerahan, Iritasi ringan, Paparan UV","Zinc Oxide, Titanium Dioxide, Heartleaf, Oatmeal, Uji Kyoto Matcha",1,1,1,1,1,0,0,1,0,YES,NO,C:\project\static\Images\Sunscreen\Wardah UV Shield Physical Sunscreen Serum SPF 50+ PA++++.png
37,UV Shield Tone UP Sunscreen Serum SPF 50+ PA+++,Wardah,Normal,"Kusam, Noda hitam","Zinc Oxide, Titanium Dioxide, Tranexamic Acid, Bright Peptide",1,0,1,1,1,1,0,1,0,YES,YES,C:\project\static\Images\Sunscreen\Wardah UV Shield Tone Up Sunscreen SPF 50+ PA+++.png
38,UV Shield Tone UP Sunscreen Serum SPF 50+ PA+++,Wardah,Kering,"Kusam, Noda hitam","Zinc Oxide, Titanium Dioxide, Tranexamic Acid, Bright Peptide",1,0,1,1,1,1,0,1,0,YES,YES,C:\project\static\Images\Sunscreen\Wardah UV Shield Tone Up Sunscreen SPF 50+ PA+++.png
39,UV Shield Tone UP Sunscreen Serum SPF 50+ PA+++,Wardah,Sensitif,"Kusam, Noda hitam","Zinc Oxide, Titanium Dioxide, Tranexamic Acid, Bright Peptide",1,0,1,1,1,1,0,1,0,YES,NO,C:\project\static\Images\Sunscreen\Wardah UV Shield Tone Up Sunscreen SPF 50+ PA+++.png
40,UV Shield Tone UP Sunscreen Serum SPF 50+ PA+++,Wardah,Berminyak,"Kusam, Noda hitam","Zinc Oxide, Titanium Dioxide, Tranexamic Acid, Bright Peptide",1,0,1,1,1,1,0,1,0,YES,YES,C:\project\static\Images\Sunscreen\Wardah UV Shield Tone Up Sunscreen SPF 50+ PA+++.png
41,UV Shield Tone UP Sunscreen Serum SPF 50+ PA+++,Wardah,Kombinasi,"Kusam, Noda hitam","Zinc Oxide, Titanium Dioxide, Tranexamic Acid, Bright Peptide",1,0,1,1,1,1,0,1,0,YES,YES,C:\project\static\Images\Sunscreen\Wardah UV Shield Tone Up Sunscreen SPF 50+ PA+++.png
42,UV Shield Tone UP Sunscreen Serum SPF 50+ PA+++,Wardah,Berjerawat,"Kusam, Noda hitam","Zinc Oxide, Titanium Dioxide, Tranexamic Acid, Bright Peptide",1,0,1,1,1,1,0,1,0,YES,NO,C:\project\static\Images\Sunscreen\Wardah UV Shield Tone Up Sunscreen SPF 50+ PA+++.png
43,UV Shield Airy Smooth Sunscreen Serum SPF 50 PA++++,Wardah,Normal,"Kusam, Paparan UV, Bintik hitam, Penuaan dini, Kulit terbakar","Ethylhexyl Methoxycinnamate, Butyl Methoxydibenzoylmethane, Octocrylene, Niacinamide, Alpha-Arbutin, Aluminum Starch Octenylsuccinate",1,0,1,1,1,1,0,1,1,YES,YES,C:\project\static\Images\Sunscreen\Wardah Wardah UV Shield Airy Smooth Sunscreen Serum SPF 50 PA++++.png
44,UV Shield Airy Smooth Sunscreen Serum SPF 50 PA++++,Wardah,Kering,"Kusam, Paparan UV, Bintik hitam, Penuaan dini, Kulit terbakar","Ethylhexyl Methoxycinnamate, Butyl Methoxydibenzoylmethane, Octocrylene, Niacinamide, Alpha-Arbutin, Aluminum Starch Octenylsuccinate",1,0,1,1,1,1,0,1,1,YES,YES,C:\project\static\Images\Sunscreen\Wardah Wardah UV Shield Airy Smooth Sunscreen Serum SPF 50 PA++++.png
45,UV Shield Airy Smooth Sunscreen Serum SPF 50 PA++++,Wardah,Sensitif,"Kusam, Paparan UV, Bintik hitam, Penuaan dini, Kulit terbakar","Ethylhexyl Methoxycinnamate, Butyl Methoxydibenzoylmethane, Octocrylene, Niacinamide, Alpha-Arbutin, Aluminum Starch Octenylsuccinate",1,0,1,1,1,1,0,1,1,YES,NO,C:\project\static\Images\Sunscreen\Wardah Wardah UV Shield Airy Smooth Sunscreen Serum SPF 50 PA++++.png
46,UV Shield Airy Smooth Sunscreen Serum SPF 50 PA++++,Wardah,Berminyak,"Kusam, Paparan UV, Bintik hitam, Penuaan dini, Kulit terbakar","Ethylhexyl Methoxycinnamate, Butyl Methoxydibenzoylmethane, Octocrylene, Niacinamide, Alpha-Arbutin, Aluminum Starch Octenylsuccinate",1,0,1,1,1,1,0,1,1,YES,YES,C:\project\static\Images\Sunscreen\Wardah Wardah UV Shield Airy Smooth Sunscreen Serum SPF 50 PA++++.png
47,UV Shield Airy Smooth Sunscreen Serum SPF 50 PA++++,Wardah,Kombinasi,"Kusam, Paparan UV, Bintik hitam, Penuaan dini, Kulit terbakar","Ethylhexyl Methoxycinnamate, Butyl Methoxydibenzoylmethane, Octocrylene, Niacinamide, Alpha-Arbutin, Aluminum Starch Octenylsuccinate",1,0,1,1,1,1,0,1,1,YES,YES,C:\project\static\Images\Sunscreen\Wardah Wardah UV Shield Airy Smooth Sunscreen Serum SPF 50 PA++++.png
48,UV Shield Airy Smooth Sunscreen Serum SPF 50 PA++++,Wardah,Berjerawat,"Kusam, Paparan UV, Bintik hitam, Penuaan dini, Kulit terbakar","Ethylhexyl Methoxycinnamate, Butyl Methoxydibenzoylmethane, Octocrylene, Niacinamide, Alpha-Arbutin, Aluminum Starch Octenylsuccinate",1,0,1,1,1,1,0,1,1,YES,NO,C:\project\static\Images\Sunscreen\Wardah Wardah UV Shield Airy Smooth Sunscreen Serum SPF 50 PA++++.png
49,Sun Battle SPF 35 PA +++ Acne Clear Cica + Allantoin Airy Acne Soothing,Emina,Normal,"Berjerawat, Kemerahan, Paparan UV","Cica, Allantoin, Niacinamide, Propylene Glycol Mentha Piperita Leaf Extract",1,1,1,1,1,1,1,1,0,YES,YES,C:\project\static\Images\Sunscreen\Emina Sun Battle SPF 35 PA +++ Acne Clear Cica + Allantoin Airy Acne Soothing.png
50,Sun Battle SPF 35 PA +++ Acne Clear Cica + Allantoin Airy Acne Soothing,Emina,Kering,"Berjerawat, Kemerahan, Paparan UV","Cica, Allantoin, Niacinamide, Propylene Glycol Mentha Piperita Leaf Extract",1,1,1,1,1,1,1,1,0,YES,YES,C:\project\static\Images\Sunscreen\Emina Sun Battle SPF 35 PA +++ Acne Clear Cica + Allantoin Airy Acne Soothing.png
51,Sun Battle SPF 35 PA +++ Acne Clear Cica + Allantoin Airy Acne Soothing,Emina,Sensitif,"Berjerawat, Kemerahan, Paparan UV","Cica, Allantoin, Niacinamide, Propylene Glycol Mentha Piperita Leaf Extract",1,1,1,1,1,1,1,1,0,YES,YES,C:\project\static\Images\Sunscreen\Emina Sun Battle SPF 35 PA +++ Acne Clear Cica + Allantoin Airy Acne Soothing.png
52,Sun Battle SPF 35 PA +++ Acne Clear Cica + Allantoin Airy Acne Soothing,Emina,Berminyak,"Berjerawat, Kemerahan, Paparan UV","Cica, Allantoin, Niacinamide, Propylene Glycol Mentha Piperita Leaf Extract",1,1,1,1,1,1,1,1,0,YES,YES,C:\project\static\Images\Sunscreen\Emina Sun Battle SPF 35 PA +++ Acne Clear Cica + Allantoin Airy Acne Soothing.png
53,Sun Battle SPF 35 PA +++ Acne Clear Cica + Allantoin Airy Acne Soothing,Emina,Kombinasi,"Berjerawat, Kemerahan, Paparan UV","Cica, Allantoin, Niacinamide, Propylene Glycol Mentha Piperita Leaf Extract",1,1,1,1,1,1,1,1,0,YES,YES,C:\project\static\Images\Sunscreen\Emina Sun Battle SPF 35 PA +++ Acne Clear Cica + Allantoin Airy Acne Soothing.png
54,Sun Battle SPF 35 PA +++ Acne Clear Cica + Allantoin Airy Acne Soothing,Emina,Berjerawat,"Berjerawat, Kemerahan, Paparan UV","Cica, Allantoin, Niacinamide, Propylene Glycol Mentha Piperita Leaf Extract",1,1,1,1,1,1,1,1,0,YES,YES,C:\project\static\Images\Sunscreen\Emina Sun Battle SPF 35 PA +++ Acne Clear Cica + Allantoin Airy Acne Soothing.png
